problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
H4_2D_sto3g,5,12,657,109224,LIST,93,93,188,311658,0.0105763,0.00253823,0.0028226,0,2112
H4_2D_sto3g,1736,12,657,109224,LIST,95,95,188,317551,0.0108599,0.00254115,0.00286789,0,2112
H4_2D_sto3g,340955,12,657,109224,LIST,92,92,179,310742,0.0103853,0.00246822,0.002771,0,2112
H4_2D_sto3g,82674392,12,657,109224,LIST,95,95,189,318597,0.0106798,0.00253404,0.00286816,0,2112
H4_2D_sto3g,234853455,12,657,109224,LIST,95,95,189,325497,0.0109014,0.00250148,0.00293645,0,2112
H4_1D_sto3g,5,12,689,120264,LIST,95,95,183,334798,0.011246,0.00273421,0.00306095,0,2376
H4_1D_sto3g,1736,12,689,120264,LIST,95,95,185,333778,0.0111421,0.00268929,0.00305186,0,2376
H4_1D_sto3g,340955,12,689,120264,LIST,98,98,190,340487,0.0113806,0.00274466,0.0031147,0,2376
H4_1D_sto3g,82674392,12,689,120264,LIST,94,94,180,333267,0.0112909,0.00277612,0.00305333,0,2376
H4_1D_sto3g,234853455,12,689,120264,LIST,97,97,188,339732,0.0116871,0.00274403,0.00316615,0,2376
H6_3D_sto3g,5,15,8721,19178632,LIST,810,810,874,34419495,1.62265,0.502512,0.5678,0,244376
H6_3D_sto3g,1736,16,8721,19178632,LIST,822,822,887,34724476,1.63949,0.53013,0.571327,0,244376
H6_3D_sto3g,340955,16,8721,19178632,LIST,828,828,893,34848887,1.63033,0.600411,0.57274,0,244372
H6_3D_sto3g,82674392,16,8721,19178632,LIST,818,818,876,34615247,1.63949,0.521437,0.569301,0,244376
H6_3D_sto3g,234853455,16,8721,19178632,LIST,810,810,873,34328146,1.60477,0.492429,0.565048,0,244376
H6_2D_sto3g,5,17,18137,82641188,LIST,1538,1227,1585,137870780,8.2624,3.52518,0.930593,0,941548
H6_2D_sto3g,1736,17,18137,82641188,LIST,1535,1225,1579,137720077,8.33877,3.59999,0.93388,0,941544
H6_2D_sto3g,340955,17,18137,82641188,LIST,1539,1229,1590,137521560,8.24864,4.02464,0.929187,0,941544
H6_2D_sto3g,82674392,17,18137,82641188,LIST,1537,1226,1593,137855546,8.4951,3.88484,0.941276,0,941544
H6_2D_sto3g,234853455,17,18137,82641188,LIST,1537,1226,1590,137842398,8.2385,3.54797,0.928353,0,941544
H6_1D_sto3g,5,17,19025,90853544,LIST,1595,1246,1645,150287744,9.25367,4.15172,0.976338,0,1.01242e+06
H6_1D_sto3g,1736,17,19025,90853544,LIST,1594,1244,1647,150337008,9.23475,4.54352,0.972085,0,1.01242e+06
H6_1D_sto3g,340955,16,19025,90853544,LIST,1598,1246,1662,151057718,9.35537,5.81718,0.980279,0,1.01242e+06
H6_1D_sto3g,82674392,17,19025,90853544,LIST,1598,1247,1647,150733470,9.90506,4.14782,1.04239,0,1.01247e+06
H6_1D_sto3g,234853455,16,19025,90853544,LIST,1594,1244,1651,150529953,9.85269,4.35426,1.02412,0,1.01242e+06
H4_2D_631g,5,16,22529,127024320,LIST,1720,1231,1776,197157271,14.7335,6.10253,1.12303,0,1.30119e+06
H4_2D_631g,1736,16,22529,127024320,LIST,1722,1235,1784,196206716,14.7985,6.39284,1.11404,0,1.30119e+06
H4_2D_631g,340955,16,22529,127024320,LIST,1730,1241,1784,197269463,14.2939,9.36223,1.10418,0,1.30119e+06
H4_2D_631g,82674392,16,22529,127024320,LIST,1719,1233,1781,196178877,14.0986,5.78769,1.07083,0,1.30119e+06
