problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,max_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
H4_2D_631g,82674392,16,22529,127024320,LIST,1719,1233,1781,196178877,127024320,14.1792,5.86571,1.1097,0,1.30119e+06
H4_2D_631g,234853455,16,22529,127024320,LIST,1740,1251,1796,197702645,127024320,14.236,6.05974,1.11953,0,1.30119e+06
H4_3D_631g,5,17,34481,297303496,LIST,2553,1463,2602,451181494,297303496,40.8509,19.0499,1.55304,0,3.24873e+06
H4_3D_631g,1736,17,34481,297303496,LIST,2548,1460,2598,450641859,297303496,40.0034,20.334,1.53759,0,3.24873e+06
H4_3D_631g,340955,17,34481,297303496,LIST,2558,1465,2614,451546136,297303496,40.6134,27.512,1.54611,0,3.24873e+06
H4_3D_631g,82674392,17,34481,297303496,LIST,2558,1467,2617,451727077,297303496,40.719,17.3679,1.5483,0,3.24873e+06
H4_3D_631g,234853455,17,34481,297303496,LIST,2550,1463,2599,450557721,297303496,40.904,21.2242,1.5551,0,3.24873e+06
H4_1D_631g,5,18,42449,450624984,LIST,3160,1619,3213,688484473,450624984,73.1237,28.6449,1.98084,0,4.52098e+06
H4_1D_631g,1736,17,42449,450624984,LIST,3142,1608,3196,685806739,450624984,71.9599,32.2851,1.96546,0,4.52097e+06
H4_1D_631g,340955,18,42449,450624984,LIST,3176,1630,3227,690204883,450624984,72.6359,41.5083,2.00917,0,4.52097e+06
H4_1D_631g,82674392,18,42449,450624984,LIST,3162,1621,3213,688283146,450624984,72.541,28.6671,1.98007,0,4.52098e+06
H4_1D_631g,234853455,17,42449,450624984,LIST,3163,1616,3215,690473798,450624984,75.0879,32.1799,1.9916,0,4.52098e+06
H4_2D_6311g,5,17,154641,5979614600,LIST,8881,1975,8943,3343149666,1684647304,2714.94,461.585,5.54506,0,5.98935e+07
H4_2D_6311g,1736,17,154641,5979614600,LIST,8771,1897,8836,3314783020,1684647304,2727.63,489.589,5.44368,0,5.98935e+07
H4_2D_6311g,340955,17,154641,5979614600,LIST,9079,2012,9133,3504642570,1684647304,2774.46,566.707,5.73144,0,5.98935e+07
H4_2D_6311g,82674392,17,154641,5979614600,LIST,8776,1896,8825,3323252937,1684647304,2732.96,462.958,5.41448,0,5.98935e+07
H4_2D_6311g,234853455,17,154641,5979614600,LIST,8794,1906,8850,3327466195,1684647304,2724.76,471.179,5.43388,0,5.98935e+07
