problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
H4_3D_sto3g,5,5,449,51168,LIST,81,50,179,83780,0.0044281,0.00141961,0.000630843,0,1056
H4_3D_sto3g,1736,5,449,51168,LIST,81,50,179,81305,0.00435859,0.00142315,0.000587361,0,1056
H4_3D_sto3g,340955,5,449,51168,LIST,81,50,176,82904,0.00426261,0.0014221,0.000604153,0,1056
H4_3D_sto3g,82674392,5,449,51168,LIST,81,50,177,82918,0.00430909,0.00143058,0.000596879,0,1056
H4_3D_sto3g,234853455,5,449,51168,LIST,81,50,177,83006,0.00436181,0.00141186,0.000604303,0,1056
H4_2D_sto3g,5,4,657,109224,LIST,99,42,172,152704,0.0113316,0.00250629,0.000648858,0,2112
H4_2D_sto3g,1736,4,657,109224,LIST,100,42,175,154228,0.0101104,0.00254074,0.000644239,0,2112
H4_2D_sto3g,340955,4,657,109224,LIST,100,42,168,154267,0.0102048,0.00252524,0.000649578,0,2112
H4_2D_sto3g,82674392,4,657,109224,LIST,100,42,172,154103,0.0100729,0.00249238,0.00063975,0,2112
H4_2D_sto3g,234853455,4,657,109224,LIST,101,42,177,157757,0.0103676,0.0025349,0.000653866,0,2232
H4_1D_sto3g,5,4,689,120264,LIST,103,43,177,168703,0.010964,0.00272213,0.000692186,0,2376
H4_1D_sto3g,1736,4,689,120264,LIST,102,43,182,167983,0.0107744,0.00274144,0.000720201,0,2376
H4_1D_sto3g,340955,4,689,120264,LIST,101,42,172,165610,0.0107172,0.00273122,0.000673201,0,2376
H4_1D_sto3g,82674392,4,689,120264,LIST,102,43,185,169181,0.0107921,0.00269181,0.000695435,0,2376
H4_1D_sto3g,234853455,4,689,120264,LIST,104,43,178,169363,0.0110921,0.002774,0.000694072,0,2376
H6_3D_sto3g,5,7,8721,19178632,LIST,1196,91,1241,10844828,3.48172,0.13755,0.00987829,0,81568
