problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
H4_3D_631g,340955,4,34481,297303496,LIST,5272,62,5330,29815165,57.7074,0.691486,0.033415,0,320936
H4_3D_631g,82674392,4,34481,297303496,LIST,5249,62,5297,29725153,57.839,0.693632,0.0335414,0,320776
H4_3D_631g,234853455,4,34481,297303496,LIST,5249,62,5300,29745585,57.6043,0.680099,0.0337818,0,321032
H4_1D_631g,5,4,42449,450624984,LIST,6447,63,6498,40161748,91.2102,0.921513,0.0423808,0,394552
H4_1D_631g,1736,4,42449,450624984,LIST,6428,63,6476,40077616,90.6343,0.93894,0.0423604,0,394928
H4_1D_631g,340955,4,42449,450624984,LIST,6453,63,6503,40184382,90.9988,0.949564,0.0423603,0,395156
H4_1D_631g,82674392,4,42449,450624984,LIST,6428,63,6484,40080490,90.9557,0.917776,0.042297,0,395060
H4_1D_631g,234853455,4,42449,450624984,LIST,6434,63,6490,40096959,91.3229,0.937632,0.0423898,0,394460
H4_2D_6311g,5,7,154641,5979614600,LIST,22392,105,22426,179733069,1448.32,6.67775,0.169546,0,2.16187e+06
H4_2D_6311g,1736,6,154641,5979614600,LIST,22451,94,22519,179427923,1419.66,6.91043,0.168344,0,2.16322e+06
H4_2D_6311g,340955,7,154641,5979614600,LIST,22476,104,22512,179467056,1418.19,7.04987,0.168054,0,2.16286e+06
H4_2D_6311g,82674392,7,154641,5979614600,LIST,22419,103,22452,179181552,1406.26,7.00031,0.167454,0,2.16368e+06
H4_2D_6311g,234853455,7,154641,5979614600,LIST,22374,106,22410,179728408,1452.25,7.34955,0.180735,0,2.16272e+06
H2_631g,5,1,89,1988,RANDOM,11,8,32,1989,0.000112531,1.8064e-05,4.819e-05,0,524
H2_631g,1736,1,89,1988,RANDOM,11,8,31,1989,0.000115296,1.8695e-05,4.8721e-05,0,528
H2_631g,340955,1,89,1988,RANDOM,11,8,34,1989,0.000119785,1.7653e-05,4.6658e-05,0,528
H2_631g,82674392,1,89,1988,RANDOM,11,8,33,1989,0.000105047,1.7302e-05,4.5696e-05,0,528
H2_631g,234853455,1,89,1988,RANDOM,11,8,29,1989,0.00011186,1.7664e-05,4.6878e-05,0,528
H2_6311g,5,1,225,12688,RANDOM,28,10,71,12638,0.0010866,6.9881e-05,0.000214361,0,792
H2_6311g,1736,1,225,12688,RANDOM,28,10,69,12643,0.000837831,6.5091e-05,0.000116108,0,792
H2_6311g,340955,1,225,12688,RANDOM,28,10,70,12641,0.000845165,6.8398e-05,0.000120746,0,792
H2_6311g,82674392,1,225,12688,RANDOM,28,10,70,12637,0.000852198,6.5483e-05,0.000119565,0,792
