problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
H2_6311g,234853455,2,225,12688,LIST,27,11,65,24123,0.00113739,0.000545713,0.000118373,0,792
H2_6311g,5,2,225,12688,LIST,27,11,68,24240,0.0011667,0.000529633,0.00011675,0,792
H2_6311g,1736,2,225,12688,LIST,27,11,65,24226,0.00112905,0.000541976,0.000119303,0,792
H2_6311g,340955,2,225,12688,LIST,27,11,62,23773,0.00112293,0.000557155,0.000113032,0,792
H2_6311g,82674392,2,225,12688,LIST,27,11,61,24235,0.00113825,0.000550542,0.000118191,0,792
H2_6311g,234853455,2,225,12688,LIST,27,11,65,24123,0.00114716,0.000544572,0.000121268,0,792
H2_6311g,5,2,225,12688,LIST,27,11,68,24240,0.0011652,0.000525776,0.000118001,0,792
H2_6311g,1736,2,225,12688,LIST,27,11,65,24226,0.0011323,0.000541516,0.000115837,0,792
H2_6311g,340955,2,225,12688,LIST,27,11,62,23773,0.00112094,0.000552496,0.000116408,0,792
H2_6311g,82674392,2,225,12688,LIST,27,11,61,24235,0.00114398,0.000556884,0.000116909,0,792
H2_6311g,234853455,2,225,12688,LIST,27,11,65,24123,0.00115529,0.00054418,0.000119094,0,792
H2_6311g,5,2,225,12688,LIST,27,11,68,24240,0.00116833,0.000532389,0.000119434,0,792
H2_6311g,1736,2,225,12688,LIST,27,11,65,24226,0.00113868,0.0005602,0.000113453,0,792
H2_6311g,340955,2,225,12688,LIST,27,11,62,23773,0.00118535,0.000585769,0.000120636,0,792
H2_6311g,82674392,2,225,12688,LIST,27,11,61,24235,0.0011602,0.000553358,0.000117079,0,792
H2_6311g,234853455,2,225,12688,LIST,27,11,65,24123,0.00114384,0.000541695,0.000118793,0,792
H2_6311g,5,2,225,12688,LIST,28,12,76,23596,0.00111726,0.000531928,0.000126788,0,792
H2_6311g,1736,2,225,12688,LIST,27,12,55,22611,0.00109985,0.000576171,0.000127669,0,792
H2_6311g,340955,2,225,12688,LIST,28,12,58,23613,0.00112001,0.000578886,0.000125405,0,792
H2_6311g,82674392,2,225,12688,LIST,27,12,46,22730,0.00107051,0.000598322,0.000121348,0,792
H2_6311g,234853455,2,225,12688,LIST,27,12,58,23062,0.00109045,0.000550442,0.000124674,0,792
